time,beach.x,presence,bluebottles,crt_salt,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_uas,wnd_vas,wave_hs,wave_t01,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir,wnd_dir
2017-11-27,1,0,0,35.538193,20.630814,-0.19714957,-0.26337475,4.1953125,-2.0966796875,-3.1728515625,1.5791669,6.2066655,0.11520835,0.93649054,0.34975246,69.520775,213.4574742995632
2017-11-28,1,0,0,35.548264,21.5569,-0.18158513,-0.2108829,2.740234375,-2.1923828125,1.2919921875,1.2447501,6.2675,0.11870829,0.96389097,0.26595208,74.57501,300.5112522151445
2017-11-29,1,0,0,35.548264,21.502426,-0.16815698,-0.21851254,2.443359375,-2.2080078125,0.1025390625,1.0768335,6.2041664,0.123416655,0.97895986,0.20228809,78.32496,272.6588843942434
2017-11-30,1,0,0,35.546585,21.424606,-0.21332438,-0.29816583,6.810546875,-3.4619140625,-5.6025390625,1.4688336,5.380417,0.14320834,0.9380965,0.33461583,70.36885,211.7126973595687
2017-12-01,1,0,0,35.59023,21.47908,-0.26276436,-0.35065767,9.880859375,-4.8818359375,-8.5244140625,2.2135832,6.2520833,0.1267917,0.8973921,0.43979427,63.89143,209.79928115016872
2017-12-02,1,0,0,35.568405,21.10553,-0.14160588,-0.2334666,6.337890625,0.3115234375,-5.3115234375,2.051417,7.1829166,0.112374984,0.8827762,0.4694623,61.995853,176.64341983562304
2017-12-03,1,0,1,35.570084,20.973236,-0.07324442,-0.09399701,5.74609375,-0.2783203125,2.4873046875,1.7239169,7.828333,0.104375005,0.7560962,-0.23144682,107.01975,353.6153699645159
2017-12-07,1,0,0,35.62044,20.770905,-0.08331553,-0.12848292,5.2109375,-1.36328125,-3.51171875,1.8028334,7.386667,0.100666665,0.98035675,0.18267809,79.44465,201.2166663929661
2017-12-09,1,0,1,35.638905,20.91098,-0.115970336,-0.124210335,2.892578125,-2.12890625,-0.55859375,1.29875,6.5104165,0.100333355,0.9467581,-0.28468877,106.735954,255.29784332037747
2017-12-10,1,0,0,35.685905,20.87207,-0.13885921,-0.19348735,4.826171875,-2.3427734375,-3.8203125,1.2006668,6.3970833,0.10170833,0.98626995,-0.114487745,96.621346,211.5183457403351
