time,hour,beach.x,observer,abundance,council_report,beach_key,surf_club,slsa_branch,state,beach_lat,beach_lon,length,orientation,embaymentisation,beach.y,crt_salt,source,crt_closest_lat,crt_closest_lon,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_temp,wnd_uas,wnd_vas,wnd_closest_lat,wnd_closest_lon,wave_closest_lat,wave_closest_lon,wave_hs,wave_t01,wave_cge,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir
2023-09-11,16:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.504623,BeachWatch,-33.95000076293945,151.25,17.525711,-0.035096288,-0.032044433,2.990234375,290.984375,0.6728515625,1.57421875,-33.99,151.29,-33.99992,151.26692,1.2951667,7.139166,6.641667,0.11454166,0.23279722,-0.9721596,166.53331
2023-09-12,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.499588,BeachWatch,-33.95000076293945,151.25,17.689133,-0.06653035,-0.07446516,3.275390625,291.21875,-0.05078125,-2.1044921875,-33.99,151.29,-33.99992,151.26692,1.3168333,8.89375,9.7125,0.07108334,0.34983099,-0.93457025,159.47797
2023-09-14,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.472733,BeachWatch,-33.95000076293945,151.25,17.556839,-0.10132145,-0.14893033,4.12890625,291.15625,-1.0263671875,-3.69140625,-33.99,151.29,-33.99992,151.26692,1.05225,8.484166,5.5208335,0.08816668,0.5769433,-0.8092955,144.51509
2023-09-15,7:07:00,Maroubra Beach (North),JL,0.0,Beware,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.47609,BeachWatch,-33.95000076293945,151.25,17.634659,-0.11291848,-0.16144292,4.818359375,291.5625,-1.16796875,-4.3203125,-33.99,151.29,-33.99992,151.26692,0.9916668,7.0975,4.2291665,0.09662502,0.8928902,-0.28943932,107.960625
2023-09-16,8:05:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.445877,BeachWatch,-33.95000076293945,151.25,17.914825,-0.10681479,-0.16205329,3.771484375,291.625,1.2548828125,-2.609375,-33.99,151.29,-33.99992,151.26692,0.94750005,7.403333,3.8166666,0.10191668,0.91997457,-0.35511756,111.10699
2023-09-18,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.447556,BeachWatch,-33.95000076293945,151.25,18.17163,-0.109866634,-0.16510513,5.283203125,292.0,-1.9775390625,-4.8330078125,-33.99,151.29,-33.99992,151.26692,1.14875,7.445417,6.0875,0.10125,0.96038246,-0.10707525,96.36176
2023-09-19,8:40:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.48784,BeachWatch,-33.95000076293945,151.25,18.405106,-0.13550219,-0.20416883,5.9375,291.890625,-0.7509765625,-5.69921875,-33.99,151.29,-33.99992,151.26692,1.4937501,7.225832,9.008334,0.116375,0.9507322,0.30196062,72.37971
2023-09-20,8:00:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.49791,BeachWatch,-33.95000076293945,151.25,18.467361,-0.06164739,-0.08972442,6.720703125,291.65625,3.7548828125,0.5849609375,-33.99,151.29,-33.99992,151.26692,1.3720001,6.91375,7.2124996,0.11741668,0.9393948,0.2872504,72.997284
2023-09-21,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.504623,BeachWatch,-33.95000076293945,151.25,18.358414,0.10010071,0.143437,8.744140625,291.625,-1.1572265625,8.3955078125,-33.99,151.29,-33.99992,151.26692,1.7091669,5.8458333,9.6,0.13520834,0.58666945,-0.7631796,142.44989
2023-09-22,7:16:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.514694,BeachWatch,-33.95000076293945,151.25,17.945953,0.010681478,0.022278512,4.677734375,291.625,-1.2099609375,4.3671875,-33.99,151.29,-33.99992,151.26692,1.3541666,5.9524994,6.1541657,0.13008334,0.56083065,-0.8222621,145.70374
